Date;Product 1;Product 2;Product 3;Entries quantity
01.01.2020;106;154;100;5396
31.01.2020;124;181;89;4904
01.03.2020;113;165;99;5761
31.03.2020;83;193;95;5921
30.04.2020;106;208;91;5719
30.05.2020;118;191;95;5769
29.06.2020;140;228;130;4778
29.07.2020;107;206;97;4750
28.08.2020;116;153;129;4791
27.09.2020;92;167;110;4525
27.10.2020;110;231;110;4903
26.11.2020;96;220;90;4281
26.12.2020;164;245;114;5260
25.01.2021;160;161;104;5253
24.02.2021;136;128;92;5881
26.03.2021;88;158;98;5562
25.04.2021;121;210;97;5564
25.05.2021;159;241;97;5788
24.06.2021;158;251;115;5766
24.07.2021;113;247;150;5406
23.08.2021;109;160;156;5370
22.09.2021;91;199;127;4708
22.10.2021;126;181;82;5217
21.11.2021;103;230;86;4834
21.12.2021;139;244;129;5422
20.01.2022;134;152;122;5714
19.02.2022;140;187;117;6063
21.03.2022;95;216;90;6757
20.04.2022;117;185;94;5762
20.05.2022;164;206;128;6370
19.06.2022;177;216;122;5564
19.07.2022;143;241;144;6048
18.08.2022;140;161;143;5538
17.09.2022;130;159;98;4916
17.10.2022;137;178;110;4963
16.11.2022;108;255;81;5683
16.12.2022;137;226;126;6034
15.01.2023;169;177;151;6296
14.02.2023;149;157;121;5891
16.03.2023;125;231;116;6835
15.04.2023;139;257;110;7089
15.05.2023;133;267;131;6705
14.06.2023;191;279;126;7059
14.07.2023;147;200;111;6586
13.08.2023;146;197;121;5871
12.09.2023;102;213;127;5918
12.10.2023;151;204;102;6000
11.11.2023;151;278;101;5239
11.12.2023;170;253;112;5987
10.01.2024;184;187;112;7193
09.02.2024;119;149;129;7614
10.03.2024;105;253;88;7737
09.04.2024;147;259;112;7529
09.05.2024;154;304;109;6651
08.06.2024;176;272;156;7323
08.07.2024;164;245;143;6879
07.08.2024;126;228;141;5682
06.09.2024;128;220;103;6536
06.10.2024;173;240;110;5796
05.11.2024;150;284;108;5656
